feature,chemistry,measurement,mean,stdev,numSamples
JT-01,,OD1,4.5,,
JT-02,,OD1,4.5,,
JT-05,,OD1,4.5,,
JT-07,,OD1,4.5,,
JT-08,,OD1,4.5,,
JT-01,,NWT1,0.25,,
JT-02,,NWT1,0.237,,
JT-05,,NWT1,0.237,,
JT-07,,NWT1,0.237,,
JT-08,,NWT1,0.237,,
JT-01,Filings,C,0.207,0.024,78
JT-02,Filings,C,0.205,0.024,78
JT-05,Filings,C,0.207,0.024,78
JT-07,Filings,C,0.205,0.024,78
JT-08,Filings,C,0.211,0.024,78
JT-01,Filings,Mn,1.087,0.05,78
JT-02,Filings,Mn,1.087,0.05,78
JT-05,Filings,Mn,1.106,0.05,78
JT-07,Filings,Mn,1.087,0.05,78
JT-08,Filings,Mn,1.087,0.05,78
JT-01,Filings,S,0.013,0.004,77
JT-02,Filings,S,0.013,0.004,77
JT-05,Filings,S,0.014,0.004,77
JT-07,Filings,S,0.014,0.004,77
JT-08,Filings,S,0.013,0.004,77
JT-01,LIBS,C,0.192,0.044,94
JT-02,LIBS,C,0.2,0.044,94
JT-05,LIBS,C,0.188,0.044,94
JT-07,LIBS,C,0.208,0.044,94
JT-08,LIBS,C,0.217,0.045,94
JT-01,XRF,Mn,1.028,0.035,51
JT-02,XRF,Mn,1.032,0.035,51
JT-05,XRF,Mn,1.04,0.035,51
JT-07,XRF,Mn,1.024,0.035,51
JT-08,XRF,Mn,1.027,0.035,51
JT-01,XRF,S,< 0.015,,38
JT-02,XRF,S,< 0.015,0.007,38
JT-05,XRF,S,< 0.015,0.007,38
JT-07,XRF,S,< 0.015,,38
JT-08,XRF,S,< 0.015,0.007,38
JT-01,,UTS,75.4,3.9,83
JT-02,,UTS,75.9,3.9,83
JT-05,,UTS,75,3.9,83
JT-07,,UTS,75.2,3.9,83
JT-08,,UTS,75.7,3.9,83
JT-01,,YS,51.1,6.1,83
JT-02,,YS,51.6,6.1,83
JT-05,,YS,51.6,6.1,83
JT-07,,YS,51.1,6.1,83
JT-08,,YS,51.9,6.1,83
,,,,,
